name,description,birthDate,nationality
Thanh-Trịnh Công Sơn,Nhạc sĩ tài hoa với dòng nhạc trữ tình đầy triết lý,28-02-1939,Việt Nam
Thanh-Phạm Duy,Một trong những nhạc sĩ lớn nhất của âm nhạc Việt Nam,05-10-1921,Việt Nam
Thanh-Văn Cao,Nhạc sĩ đa tài- tác giả quốc ca Việt Nam,15-11-1923,Việt Nam
Thanh-Nguyễn Văn Tý,Nhạc sĩ nổi tiếng với nhiều ca khúc trữ tình,05-03-1925,Việt Nam
Thanh-Hoàng Vân,Nhạc sĩ với nhiều sáng tác cách mạng và trữ tình,24-07-1930,Việt Nam
Thanh-Trần Tiến,Nhạc sĩ phóng khoáng với phong cách đa dạng,16-05-1947,Việt Nam
Thanh-Quốc Bảo,Nhạc sĩ trẻ tài năng với nhiều hit hiện đại,10-06-1973,Việt Nam
Thanh-Đỗ Hồng Quân,Nhạc sĩ- Chủ tịch Hội Nhạc sĩ Việt Nam,15-09-1963,Việt Nam
Thanh-John Lennon,Nhạc sĩ huyền thoại của The Beatles,09-10-1940,Anh
Thanh-Paul McCartney,Nhạc sĩ- thành viên The Beatles và sự nghiệp solo,18-06-1942,Anh
Thanh-Bob Dylan,Nhạc sĩ đoạt giải Nobel Văn học với nhạc folk-rock,24-05-1941,Mỹ
Thanh-Taylor Swift,Nữ hoàng nhạc pop và đồng quê hiện đại,13-12-1989,Mỹ
Thanh-Ed Sheeran,Nam ca sĩ-nhạc sĩ nổi tiếng toàn cầu,17-02-1991,Anh
Thanh-Adele,Nữ hoàng nhạc pop-soul với giọng hát quyền lực,05-05-1988,Anh
Thanh-Michael Jackson,Ông hoàng nhạc pop- biểu tượng âm nhạc thế giới,29-08-1958,Mỹ
Thanh-Freddie Mercury,Ca sĩ-nhạc sĩ huyền thoại của Queen,05-09-1946,Anh
Thanh-Hans Zimmer,Nhạc sĩ phim nổi tiếng với nhiều soundtrack đình đám,12-09-1957,Đức
Thanh-Yiruma,Nhạc sĩ piano nổi tiếng với River Flows in You,15-02-1978,Hàn Quốc
Thanh-Joe Hisaishi,Nhạc sĩ phim của Studio Ghibli và Takeshi Kitano,06-12-1950,Nhật Bản
Thanh-Shakira,Nữ nghệ sĩ Latinh toàn cầu với phong cách đa dạng,02-02-1977,Colombia
